"Distance [mm]"	"Bt []"
17.17536	-0.0201982543227786
17.390052	-0.0304311591946329
17.604744	-0.0370697560432539
17.819436	-0.0382774454516177
18.034128	-0.0394210559508107
18.24882	-0.0404990998940011
18.463512	-0.0410103681974574
18.678204	-0.0392666372111789
18.892896	-0.0378061351095664
19.107588	-0.034538667948968
19.32228	-0.0311982701584165
19.536972	-0.0310267035452581
19.751664	-0.0306223476603227
19.966356	-0.0305080989063439
20.181048	-0.0309306683642185
20.39574	-0.0359563796044053
20.610432	-0.0447994889502267
20.825124	-0.0536415283889174
21.039816	-0.0631984854305003
21.254508	-0.0732785409574384
21.4692	-0.098691496452401
21.683892	-0.127416620892515
21.898584	-0.163075774480025
22.113276	-0.200187915264455
22.327968	-0.268487926602275
22.54266	-0.332993682931685
22.757352	-0.333368593761629
22.972044	-0.262119618550213
23.186736	-0.294252535340683
23.401428	-0.327942842701646
23.61612	-0.286989967414285
23.830812	-0.225721496526314
24.045504	-0.184031453583884
24.260196	-0.150315891766878
24.474888	-0.133456729427386
24.68958	-0.123610165661238
24.904272	-0.10582955353463
25.118964	-0.0868156925008162
25.333656	-0.0729271092163645
25.548348	-0.062422016797089
25.76304	-0.0515973681222324
25.977732	-0.0438049500588115
26.192424	-0.0389907687809726
26.407116	-0.0403759253639349
26.621808	-0.0455040864713148
26.8365	-0.0543986291736427
27.051192	-0.0758141487544007
27.265884	-0.104792037300329
27.480576	-0.177385991006645
27.695268	-0.235690417041691
27.90996	-0.212226640653499
28.124652	-0.143306595319963
28.339344	-0.0779099967156308
28.554036	-0.0324026195454684
28.768728	0.0187516939267208
28.98342	0.0742130256100461
29.198112	0.129111789543657
29.412804	0.184606159122166
29.627496	0.226305348719512
29.842188	0.144529060168812
30.05688	0.0460774598717395
30.271572	0.0450437329428361
30.486264	0.0276676065969801
30.700956	0.020556686137314
30.915648	0.0173858719700897
31.13034	0.0184601977396018
31.345032	0.0173343671666198
31.559724	0.0216310524108502
31.774416	0.0307885950830502
31.989108	0.032085655846664
32.2038	0.0351154207995279
32.418492	0.0381391859905758
32.633184	0.0373509602350414
32.847876	0.0378048782991888
33.062568	0.0355905610791028
33.27726	0.0334141923015854
33.491952	0.0287570140093843
33.706644	0.0244451630297601
33.921336	0.0207350780911963
34.136028	0.0191676150748532
34.35072	0.0177181453863146
34.565412	0.0163855832894623
34.780104	0.0193365177519788
34.994796	0.0216037864134286
35.209488	0.0256961812261371
35.42418	0.0297936605111652
35.638872	0.0290958882855432
35.853564	0.0383590718816472
36.068256	0.0486757490610302
36.282948	0.0598007815295412
36.49764	0.0722864582703534
36.712332	0.0919563751395835
36.927024	0.110132363880058
37.141716	0.132113803422731
37.356408	0.120648178158787
37.5711	0.21541076769072
37.785792	0.332035434786421
38.000484	0.316367388184209
38.215176	0.303473725480896
38.429868	0.304881714855325
38.64456	0.32865212870056
38.859252	0.333186853991762
39.073944	0.313581750728511
39.288636	0.220340884384165
39.503328	0.1554703729414
39.71802	0.130166330237687
39.932712	0.110452236651645
40.147404	0.0921482417920143
40.362096	0.077434324265498
40.576788	0.0649316864298446
40.79148	0.0627460790674604
41.006172	0.0616050227855123
41.220864	0.0690490168607341
41.435556	0.0966534717774551
41.650248	0.128226274263384
41.86494	0.148771202049304
42.079632	0.127748644532346
42.294324	0.104644077496129
42.509016	0.079462283897886
42.723708	0.112215990314999
42.9384	0.0359203787584711
43.153092	-0.0401522848943766
43.367784	-0.115988984290033
43.582476	-0.19157674014448
43.797168	-0.111370113797916
44.01186	-0.0606824126199674
44.226552	-0.00793228119832363
44.441244	0.04687330829617
44.655936	-0.0598241389817958
44.870628	-0.0447243031243339
45.08532	-0.029836647070215
45.300012	-0.0151621770149074
45.514704	-0.0131068355333666
45.729396	-0.0175317116992007
45.944088	-0.022015859698772
46.15878	-0.0265572496368205
46.373472	-0.0294393792722003
46.588164	-0.0320333175525267
46.802856	-0.0342802429614464
47.017548	-0.0327637720610738
47.23224	-0.0275010886617808
47.446932	-0.0261172278306579
47.661624	-0.0246335404449677
47.876316	-0.0211871327845146
48.091008	-0.0167864917740917
48.3057	-0.0148497556740468
48.520392	-0.0131494340543151
48.735084	-0.00956000334714775
48.949776	-0.00809495659590684
49.164468	-0.0092730058377687
49.37916	-0.011161164458007
49.593852	-0.0158271744386518
49.808544	-0.0175382806426754
50.023236	-0.0178320480165044
50.237928	-0.0205768837559392
50.45262	-0.0219250054666658
50.667312	-0.0240310470933261
50.882004	-0.0276664161709184
51.096696	-0.0366517019231525
51.311388	-0.0463054290985305
51.52608	-0.0543468275989176
51.740772	-0.0589985146990538
51.955464	-0.0816914496466142
52.170156	-0.102775871148015
52.384848	-0.136313019116444
52.59954	-0.171012454630903
52.814232	-0.221388399080842
53.028924	-0.286400471554437
53.243616	-0.328555079598896
53.458308	-0.341456257917286
53.673	-0.296164077029067
53.887692	-0.30778624020501
54.102384	-0.321442885993307
54.317076	-0.275440842144265
54.531768	-0.214260792353755
54.74646	-0.175529011046944
54.961152	-0.139498378445382
55.175844	-0.12558241450337
55.390536	-0.11247986965111
55.605228	-0.107899932060395
55.81992	-0.113472594306021
56.034612	-0.195161405917902
56.249304	-0.258621486399538
56.463996	-0.235427370792098
